freq,indic_de,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,AVG,MD	3639591 	3631462 	3623062 	3612874 	3603936 	3595186 	3585523 	3576907 	3570108 	3565604 	3562063 	3559986 	3559519 	3558566 	2856950 be	2834530 e	2802170 e	2755158 e	2708214 e	2663251 e	2618773 ep	: 	2558244 ep	: 
A,AVG,ME	604570 	607224 	609485 	611362 	612817 	613265 	613867 	615084 	616350 	618079 	619426 b	620079 	620601 	621207 	621810 	622159 	622303 	622373 	622271 	622028 	621306 	619211 	617189 	: 
A,AVG,MK	2026345 	2034882 	2031153 	2026773 	2032544 	2036855 	2040228 	2043559 	2046898 	2050671 	2055003 	2058539 	2061044 	2064032 	2067471 	2070225 	2072490 	2074502 	2076217 	2076694 	2072532 	1952961 	1833534 	: 
A,AVG,MT	390087 	393028 	395969 	398582 	401268 	403834 	405308 	406724 	409379 	412477 	414508 	416268 	420028 	425967 	434558 	445053 	455356 	467999 	484630 	504062 	515332 	518536 	531511 	: 
A,AVG,NL	15925513 	16046180 	16148929 	16225302 	16281779 	16319868 	16346101 	16381696 	16445593 	16530388 	16615394 	16693074 	16754962 	16804432 	16865008 	16939923 	17030314 	17131296 	17231624 	17344874 	17441500 	17533044 	17700982 	: 
A,AVG,NO	4490967 	4513751 	4538159 	4564855 	4591910 	4623291 	4660677 	4709153 	4768212 	4828726 	4889252 	4953088 	5018573 	5079623 	5137232 	5188607 	5234519 	5276968 	5311916 	5347896 	5379475 	5408320 	5457127 	: 
A,AVG,PL	38258629 b	38248076 	38230364 	38204570 	38182222 	38165445 	38141267 	38120560 	38125759 	38151603 	38042794 b	38063255 	38063164 	38040196 	38011735 	37986412 	37970087 	37974826 	37974750 e	37965475 e	37899070 ep	36981559 b	36821749 	: 
A,AVG,PT	10289898 	10362722 	10419631 	10458821 	10483861 	10503330 	10522288 	10542964 	10558177 	10568247 	10573100 	10557560 	10514844 	10457295 	10401062 	10358076 	10325452 	10300300 	10283822 	10286263 	10297081 	10361831 bp	10409704 bp	: 
A,AVG,RO	22442971 	22131970 	21730496 	21574326 	21451748 	21319685 	21193760 	20882982 	20537875 	20367487 	20246871 	20147528 	20058035 	19983693 	19908979 	19815616 	19702267 	19588715 	19473970 	19371648 e	19265250 e	19122059 e	19048502 e	: 
A,AVG,RS	7516346 	7503433 	7496522 	7480591 	7463157 	7440769 	7411569 	7381579 	7350222 	7320807 	7291436 	7234099 b	7199077 	7164132 	7130576 	7095383 	7058322 	7020858 	6982604 	6945235 	6899126 	6834326 	6719151 	: 
A,AVG,RU	146596870 	145976473 	145408033 	144667468 	143821212 	143113885 	142487260 	142114903 	141956409 	141909244 	142385523 	142956460 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,AVG,SE	8872109 	8895960 	8924958 	8958229 	8993531 	9029572 	9080505 	9148092 	9219637 	9298515 	9378126 	9449213 	9519374 	9600379 	9696110 	9799186 	9923085 	10057698 	10175214 	10278887 	10353442 	10415811 	10486941 	: 
A,AVG,SI	1988925 	1992060 	1994530 	1995733 	1997012 	2000474 	2006868 	2018122 	2021316 b	2039669 	2048583 	2052843 	2057159 	2059953 	2061980 	2063531 	2065042 	2066388 	2073894 	2088385 	2102419 	2108079 	2112076 	: 
A,AVG,SK	5388720 	5378867 	5376912 	5373374 	5372280 	5372807 	5373054 	5374622 	5379233 	5386406 	5391428 	5398384 	5407579 	5413393 	5418649 	5423801 	5430798 	5439232 	5446771 	5454147 	5458827 	5447247 	5431752 	: 
A,AVG,SM	: 	: 	: 	: 	29457 	29836 	30184 	31211 	31662 	: 	: 	32620 	33469 	33041 	32655 	32897 	33101 	33825 	34522 	34663 	34770 	34252 	33755 	: 
A,AVG,TR	65809463 	65166331 	66002506 	66794551 	67598736 	68435380 	69295253 	70158112 	71051678 	72039206 	73142150 	74223629 	75175827 	76147624 	77181884 	78218479 	79277962 	80312698 	81407204 be	82579440 be	83384680 	84147318 	84979913 	: 
A,AVG,UA	48889280 	48452256 	48032005 	47632594 	47271271 	46924816 	46607431 	46329000 	46077834 	45872976 	45690386 	45525731 	45412987 	45309293 	: 	42675270 b	42502892 	42315836 	42100165 	41858172 	41575748 	: 	: 	: 
A,AVG,UK	58892514 	59119673 	59370479 	59647577 	59987905 	60401206 	60846820 	61322463 	61806995 	62276270 	62766365 	63258810 	63700215 	64128273 	64602298 	65116219 	65611593 	66058859 	66460344 	66836327 	: 	: 	: 	: 
A,AVG,XK	: 	: 	: 	2000500 	2028500 	2070500 	2113354 	2139924 	2166913 	2194397 	2001144 b	1787101 b	1797814 e	1818119 e	1812788 e	1788274 e	1777568 e	1791019 e	1797086 	1788891 	1790152 e	: 	: 	: 
